Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C9",0603,2,10uF,
"C11, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22",0603,11,0.1uF,
"C12, C23",0603,2,1uF,
"C2, C3",0603,2,100nF,
"C7, C8",0603,2,15pF,
J1,USB_A_CNCTech_1001-011-01101_Horizontal,1,USB_A,
"R11, R12",0603,2,1kR,
R13,0603,1,10KR,
"R19, R9",0603,2,27R,
SW1,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,LGA-14_L3.0-W2.5-P0.50-TL,1,ICM-45686,C22459454
U6,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
U7,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
Y1,Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm,1,12 MHz,
